 1,14824,16000,1176
 2,16624,16624,0
 3,16688,16688,0
 4,16732,16732,0
 5,16796,16796,0
 6,16852,16852,0
 7,16912,16912,0
 8,16968,16968,0
 9,17028,17028,0
 10,17072,17072,0
 11,17112,17112,0
 12,17168,17168,0
 13,17188,17188,0
 14,17252,17252,0
 15,17304,17304,0
 16,17348,17348,0
 17,17392,17392,0
 18,17448,17448,0
 19,17488,17488,0
 20,17544,17544,0
 21,17584,17584,0
 22,17624,17624,0
 23,17684,17692,8
 24,17732,17732,0
 25,17784,17784,0
 26,17824,17824,0
 27,17872,17872,0
 28,17916,17916,0
 29,17952,17952,0
 30,17992,17992,0
 31,18028,18028,0
 32,18080,18080,0
 33,18124,18124,0
 34,18160,18160,0
 35,18204,18204,0
 36,18232,18232,0
 37,18272,18272,0
 38,18320,18320,0
 39,18360,18360,0
 40,18400,18400,0
 41,18456,18456,0
 42,18504,18504,0
 43,18528,18536,8
 44,18824,18824,0
 45,18860,18860,0
 46,18904,18904,0
 47,18948,18948,0
 48,18996,18996,0
 49,19028,19028,0
 50,19068,19068,0
 51,19104,19104,0
 52,19152,19152,0
 53,19696,19696,0
 54,19736,19736,0
 55,19784,19784,0
 56,19820,19820,0
 57,19872,19872,0
 58,19904,19904,0
 59,19952,19952,0
 60,19996,19996,0
 61,20040,20040,0
 62,20092,20092,0
 63,20148,20148,0
 64,20200,20200,0
 65,20248,20248,0
 66,20288,20288,0
 67,20336,20336,0
 68,20380,20380,0
 69,20420,20420,0
 70,20460,20460,0
 71,20500,20500,0
 72,20544,20544,0
 73,20588,20588,0
 74,20628,20628,0
 75,20668,20668,0
 76,20708,20708,0
 77,20764,20764,0
 78,20812,20812,0
 79,20848,20848,0
 80,20876,20876,0
 81,20904,20904,0
 82,20944,20948,4
 83,20984,20984,0
 84,21028,21028,0
 85,21056,21056,0
 86,21116,21116,0
 87,21180,21180,0
 88,21212,21212,0
 89,21256,21256,0
 90,21292,21292,0
 91,21340,21340,0
 92,21388,21388,0
 93,21424,21424,0
 94,21476,21476,0
 95,21516,21516,0
 96,21552,21552,0
 97,21600,21600,0
 98,21644,21644,0
 99,21696,21696,0
 100,21740,21740,0
 101,21784,21836,52
 102,21848,21848,0
 103,21880,21880,0
 104,21928,21928,0
 105,21964,21964,0
 106,21996,21996,0
 107,22288,22288,0
 108,22328,22328,0
 109,22372,22372,0
 110,22412,22412,0
 111,22444,22464,20
 112,22480,22480,0
 113,22524,22524,0
 114,22568,22568,0
 115,22608,22608,0
 116,22648,22648,0
 117,22680,22680,0
 118,22724,22724,0
 119,22764,22764,0
 120,22812,22812,0
 121,22864,22864,0
 122,22916,22916,0
 123,22972,22972,0
 124,23012,23012,0
 125,23056,23056,0
 126,23092,23092,0
 127,23128,23128,0
 128,23180,23180,0
 129,23220,23220,0
 130,23280,23288,8
 131,23316,23316,0
 132,23356,23356,0
 133,23416,23416,0
 134,23452,23452,0
 135,23488,23488,0
 136,23544,23544,0
 137,23580,23580,0
 138,23632,23632,0
 139,23684,23684,0
 140,23732,23748,16
 141,23772,23772,0
 142,23820,23820,0
 143,23864,23864,0
 144,23904,23904,0
 145,23936,23936,0
 146,23988,23988,0
 147,24024,24024,0
 148,24068,24068,0
 149,24112,24112,0
 150,24152,24152,0
 151,24192,24192,0
 152,24228,24228,0
 153,24276,24276,0
 154,24324,24324,0
 155,24372,24372,0
 156,24404,24404,0
 157,24724,24724,0
 158,24768,24768,0
 159,24804,24804,0
 160,24864,24864,0
 161,24888,24888,0
 162,24956,24956,0
 163,25000,25000,0
 164,25040,25040,0
 165,25072,25072,0
 166,25116,25116,0
 167,25168,25168,0
 168,25204,25204,0
 169,25252,25252,0
 170,25288,25288,0
 171,25328,25328,0
 172,25408,25408,0
 173,25444,25444,0
 174,25488,25488,0
 175,25528,25528,0
 176,25576,25576,0
 177,25608,25608,0
 178,25656,25656,0
 179,25700,25700,0
 180,25752,25752,0
 181,25784,25784,0
 182,25816,25816,0
 183,25856,25856,0
 184,25904,25904,0
 185,25956,25956,0
 186,25992,25992,0
 187,26052,26052,0
 188,26080,26080,0
 189,26124,26124,0
 190,26172,26172,0
 191,26200,26200,0
 192,26244,26244,0
 193,26288,26288,0
 194,26348,26348,0
 195,26388,26388,0
 196,26436,26436,0
 197,26476,26476,0
 198,26488,26508,20
 199,26540,26540,0
 200,26576,26576,0
